Time,Stimulus,Raw F3,Raw F4,F3-Cz,F4-Cz,F3-CMA,F4-CMA
0.800799,0,-0.905853,2.889275,0.794208,4.589336,-0.905853016923077,2.88927498307692
0.8047053,0,3.781875,-2.773336,5.182112,-1.373099,3.78187494723077,-2.77333605276923
0.8086116,0,-2.870937,-1.24944,1.954269,3.575766,-2.87093705938462,-1.24944005938462
0.8125179,0,0.3157351,-0.6338967,1.6964011,0.7467693,0.315735048153846,-0.633896751846154
0.8164243,0,-1.43288,-5.976282,3.466376,-1.077026,-1.43287995830769,-5.97628195830769
0.8203306,0,-3.620717,-3.783323,2.626227,2.463621,-3.62071703784615,-3.78332303784615
0.8242369,0,-0.9778852,-4.814732,1.6661918,-2.170655,-0.977885281846154,-4.81473208184615
0.8281433,0,-0.7888592,-3.195857,0.9647328,-1.442265,-0.788859216923077,-3.19585701692308
0.8320496,0,-1.270754,-3.453428,1.033034,-1.14964,-1.27075402523077,-3.45342802523077
0.835956,0,-1.211776,-6.179148,1.902987,-3.064385,-1.21177604461538,-6.17914804461538
0.8398623,0,-4.207864,-4.374877,-2.730478,-2.897491,-4.20786405153846,-4.37487705153846
0.8437686,0,1.081303,-6.101465,5.527734,-1.655034,1.08130295678462,-6.10146504321539
0.847675,0,-0.3817055,-2.865759,-2.2033475,-4.687401,-0.381705566846154,-2.86575906684615
0.8515813,0,-2.256439,-1.53444,-0.936046,-0.214047,-2.25643896676923,-1.53443996676923
0.8554876,0,-2.557439,-2.715684,-1.282329,-1.440574,-2.55743900215385,-2.71568400215385
0.859394,0,-3.747469,-6.838471,-4.0669961,-7.1579981,-3.74746897384615,-6.83847097384615
0.8633003,0,-10.17963,-1.542732,-6.299148,2.33775,-10.1796300138462,-1.54273201384615
0.8672066,0,-3.433414,-4.152709,-0.241017,-0.960312,-3.43341391230769,-4.15270891230769
0.871113,0,-5.300803,-1.325931,-4.4622445,-0.4873725,-5.30080293723077,-1.32593093723077
0.8750193,0,-0.5988351,-3.635878,-2.2713481,-5.308391,-0.598835132615385,-3.63587803261538
0.8789256,0,-3.677745,-5.339778,-2.672732,-4.334765,-3.67774498861538,-5.33977798861538
0.882832,0,-1.765479,-1.840242,-2.6571576,-2.7319206,-1.76547899754985,-1.84024199754985
0.8867383,0,-4.131105,-1.284553,-5.757833,-2.911281,-4.13110507215385,-1.28455307215385
0.8906447,0,-6.07405,-2.313714,-7.713557,-3.953221,-6.07405006878462,-2.31371406878462
0.894551,0,4.369448,-1.12225,0.961417,-4.530281,4.36944792461539,-1.12225007538462
0.8984573,0,0.7718385,-1.611058,-2.0876775,-4.470574,0.771838308446154,-1.61105819155385
0.9023637,0,-5.501001,1.054364,-6.1204645,0.4349005,-5.50100088876923,1.05436411123077
0.90627,0,-6.896717,3.319726,-11.942465,-1.726022,-6.89671693692308,3.31972606307692
0.9101763,0,2.45976,-1.511308,-1.593508,-5.564576,2.45976008138462,-1.51130791861538
0.9140826,0,-0.06324386,-0.9991586,-6.94360386,-7.8795186,-0.0632438701538461,-0.999158610153846
0.917989,0,3.598376,4.517118,-2.08325,-1.164508,3.59837599092308,4.51711799092308
0.9218953,0,4.584713,0.6791329,1.397696,-2.5078841,4.58471305476923,0.679132954769231
0.9258017,0,3.876608,1.738502,-1.644233,-3.782339,3.87660807076923,1.73850207076923
0.929708,0,-0.7903547,5.091599,-6.8375897,-0.955635999999999,-0.790354649230769,5.09159905076923
0.9336144,0,0.6485261,-0.1957062,-5.5243929,-6.3686252,0.648526136923077,-0.195706163076923
